feature,importance,kind
Total Assets_roll4_std,839.3241255785101,standardized_coefficient_abs
Operating Profit_yoy_growth,800.7182848692177,standardized_coefficient_abs
CFO_yoy_growth,780.0754836873781,standardized_coefficient_abs
Sales_roll4_growth,743.1963749114311,standardized_coefficient_abs
exchange_rate_lag4,643.848850853064,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,602.7951382130441,standardized_coefficient_abs
Net Profit_yoy_growth,589.9358938795679,standardized_coefficient_abs
Net Profit_qoq_growth_lag1,575.6163648040456,standardized_coefficient_abs
Expenses,529.4828017769734,standardized_coefficient_abs
exchange_rate_lag1,500.28569292035473,standardized_coefficient_abs
Total Assets_roll4_growth,412.1291838663071,standardized_coefficient_abs
Sales_roll4_std,404.43088385149554,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,365.718045554896,standardized_coefficient_abs
Net Profit,332.9573934156515,standardized_coefficient_abs
CFO_roll4_growth,298.5257620994213,standardized_coefficient_abs
Sector_Tech,259.0154521400462,standardized_coefficient_abs
exchange_rate,253.91054167233403,standardized_coefficient_abs
Sector_Energy,243.81975779445344,standardized_coefficient_abs
Total Assets_qoq_growth_lag1,173.20093959658993,standardized_coefficient_abs
Reverse_Repo_Rate,51.07061201983201,standardized_coefficient_abs
Sector_Auto,0.0,standardized_coefficient_abs
