Company,Ticker,Sector,Year,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit Before Tax,Tax,Net Profit,EPS,Equity,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,CFO,CFI,CFF,Net Cash Flow,Free Cash Flow,Debtor Days,Inventory Days,Days Payable,Cash Conversion Cycle,Working Capital Days,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate
Tata Steel,TATASTEEL,Metals & Mining,Mar 2018,123249,101816,21433,17%,10898,5455,5742,21135.0,16%,17743,11.93,1145.0,59726.0,92147.0,55704.0,208722.0,96105.0,16614.0,17899.0,78103.0,208722.0,8023.0,-11730.0,6640.0,2933.0,724.0,37.0,224.0,161.0,99.0,-31.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Lupin,LUPIN,Pharmaceuticals,Mar 2018,15797,12649,3148,20%,-1310,204,1086,547.0,53%,258,5.56,90.0,13487.0,7143.0,5300.0,26020.0,10362.0,2598.0,262.0,12798.0,26020.0,1751.0,470.0,-1492.0,729.0,261.0,120.0,253.0,178.0,195.0,126.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Allcargo Logistics,ALLCARGO,Ports & Infrastructure,Mar 2018,1199,1038,161,13%,-6,23,102,30.0,5%,29,0.29,49.0,1268.0,279.0,235.0,1830.0,875.0,10.0,480.0,465.0,1830.0,158.0,6.0,-163.0,0.0,158.0,77.0,,,77.0,-10.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Chennai Petroleum,CHENNPETRO,Oil & Gas,Mar 2018,32370,30288,2082,6%,52,322,340,1473.0,37%,927,62.27,149.0,3848.0,4491.0,5851.0,14339.0,5914.0,1410.0,153.0,6863.0,14339.0,2757.0,-969.0,-1788.0,0.0,1766.0,18.0,60.0,56.0,22.0,-26.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Petronet LNG,PETRONET,Oil & Gas,Mar 2018,30599,27285,3314,11%,349,163,412,3088.0,32%,2110,14.07,1500.0,8311.0,1453.0,4480.0,15745.0,8030.0,220.0,4213.0,3282.0,15745.0,2996.0,-1278.0,-1335.0,383.0,2820.0,19.0,7.0,21.0,4.0,-8.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Dhanuka Agritech,DHANUKA,Agriculture,Mar 2018,963,796,166,17%,16,1,14,167.0,24%,126,25.71,10.0,624.0,5.0,185.0,823.0,131.0,0.0,182.0,510.0,823.0,138.0,-111.0,-20.0,7.0,131.0,79.0,147.0,60.0,166.0,122.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Godrej Consumer Products,GODREJCP,FMCG,Mar 2018,9847,7763,2084,21%,283,173,156,2039.0,20%,1634,15.99,68.0,6190.0,3508.0,4098.0,13864.0,8315.0,84.0,997.0,4468.0,13864.0,1723.0,-336.0,-1384.0,3.0,1412.0,46.0,135.0,201.0,-20.0,-31.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
KEC International,KEC,Ports & Infrastructure,Mar 2018,10053,8957,1095,11%,22,318,110,689.0,33%,460,17.91,51.0,1946.0,1766.0,6749.0,10512.0,1112.0,78.0,39.0,9283.0,10512.0,660.0,-4.0,-638.0,17.0,524.0,183.0,45.0,331.0,-103.0,33.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Britannia,BRITANNIA,FMCG,Mar 2018,9914,8413,1501,15%,166,8,142,1518.0,34%,1004,41.83,24.0,3382.0,201.0,1581.0,5188.0,1346.0,203.0,1079.0,2560.0,5188.0,1249.0,-957.0,-232.0,60.0,828.0,11.0,39.0,59.0,-9.0,17.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
KRBL,KRBL,Agriculture,Mar 2018,3246,2472,774,24%,18,69,68,655.0,34%,434,18.46,24.0,2264.0,1245.0,324.0,3858.0,982.0,2.0,9.0,2864.0,3858.0,61.0,-49.0,25.0,37.0,24.0,28.0,415.0,19.0,424.0,155.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Laurus Labs,LAURUSLABS,Pharmaceuticals,Mar 2018,2056,1642,414,20%,29,80,125,237.0,29%,168,3.16,106.0,1377.0,980.0,554.0,3017.0,1481.0,163.0,3.0,1369.0,3017.0,342.0,-384.0,42.0,1.0,-49.0,101.0,201.0,107.0,195.0,-11.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Gujarat Mineral Development Corp,GMDCLTD,Metals & Mining,Mar 2018,2051,1583,468,23%,121,2,119,469.0,26%,347,10.9,64.0,4288.0,0.0,1044.0,5395.0,2147.0,11.0,782.0,2456.0,5395.0,241.0,-138.0,-97.0,6.0,35.0,20.0,,,20.0,178.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Gujarat Narmada Valley Fertilizers & Chemicals (GNFC),GNFC,Agriculture,Mar 2018,5837,4445,1392,24%,140,100,270,1162.0,32%,795,51.15,155.0,4362.0,303.0,2411.0,7231.0,4161.0,14.0,785.0,2271.0,7231.0,1819.0,49.0,-1400.0,468.0,1850.0,70.0,98.0,61.0,107.0,57.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Coal India,COALINDIA,Metals & Mining,Mar 2018,85244,75956,9288,11%,4975,430,3063,10770.0,35%,7038,11.34,6207.0,13971.0,1538.0,103754.0,125471.0,27574.0,10273.0,1704.0,85920.0,125471.0,21115.0,-7747.0,-13564.0,-196.0,12586.0,27.0,,,27.0,-59.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
JSW Steel,JSWSTEEL,Metals & Mining,Mar 2018,71933,57017,14916,21%,-177,3701,3387,7651.0,20%,6113,25.71,302.0,27696.0,39393.0,24579.0,91970.0,57848.0,5950.0,1469.0,26703.0,91970.0,12379.0,-4529.0,-8185.0,-335.0,7703.0,24.0,118.0,149.0,-7.0,-36.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Havells India,HAVELLS,Consumer Durables,Mar 2018,8116,7083,1033,13%,97,25,140,965.0,31%,661,10.6,63.0,3667.0,115.0,2763.0,6608.0,2819.0,24.0,0.0,3765.0,6608.0,1100.0,-946.0,-409.0,-255.0,-489.0,15.0,124.0,125.0,14.0,-17.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Crompton Greaves Consumer Electricals,CROMPTON,Consumer Durables,Mar 2018,4080,3549,531,13%,31,64,13,485.0,33%,324,5.17,125.0,664.0,649.0,987.0,2425.0,862.0,1.0,368.0,1195.0,2425.0,315.0,-33.0,-175.0,107.0,302.0,50.0,40.0,100.0,-11.0,-2.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Balrampur Chini Mills,BALRAMCHIN,Agriculture,Mar 2018,4343,3888,454,10%,38,52,95,345.0,33%,232,10.14,23.0,1594.0,990.0,1093.0,3700.0,1446.0,11.0,122.0,2121.0,3700.0,1180.0,-159.0,-1020.0,0.0,1048.0,15.0,189.0,82.0,123.0,16.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Greenply Industries,GREENPLY,Consumer Durables,Mar 2018,912,848,64,7%,86,8,18,124.0,11%,111,9.02,12.0,865.0,712.0,521.0,2111.0,580.0,770.0,18.0,742.0,2111.0,113.0,-328.0,164.0,-50.0,-216.0,114.0,150.0,142.0,122.0,0.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
GSPL,GSPL,Oil & Gas,Mar 2018,7261,5217,2044,28%,122,242,447,1477.0,35%,958,13.15,564.0,1865.0,5386.0,4148.0,11963.0,8208.0,1374.0,590.0,1790.0,11963.0,1669.0,-3593.0,2013.0,89.0,924.0,25.0,,,25.0,-113.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Indraprastha Gas,IGL,Oil & Gas,Mar 2018,4535,3409,1126,25%,153,2,181,1096.0,34%,722,5.16,140.0,3507.0,0.0,1453.0,5100.0,2432.0,386.0,1316.0,966.0,5100.0,879.0,-717.0,-84.0,78.0,409.0,18.0,8.0,50.0,-23.0,-67.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
DLF,DLF,Real Estate,Mar 2018,6707,4329,2378,35%,9722,2951,534,8615.0,50%,4477,25.02,357.0,34954.0,17491.0,7783.0,60585.0,8082.0,137.0,20832.0,31533.0,60585.0,270.0,-2102.0,-232.0,-2064.0,-455.0,70.0,,,70.0,495.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Godrej Agrovet,GODREJAGRO,Agriculture,Mar 2018,5186,4741,445,9%,58,45,86,372.0,32%,251,11.94,192.0,1219.0,410.0,1714.0,3535.0,1492.0,190.0,195.0,1657.0,3535.0,354.0,-253.0,-125.0,-24.0,109.0,44.0,70.0,82.0,31.0,-8.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
MRPL,MRPL,Oil & Gas,Mar 2018,49055,44526,4529,9%,223,915,966,2871.0,38%,1774,11.37,1753.0,8481.0,14921.0,6803.0,31958.0,20217.0,682.0,31.0,11028.0,31958.0,3972.0,-981.0,-2796.0,194.0,2901.0,19.0,45.0,41.0,23.0,-63.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
NCC Ltd.,NCC,Ports & Infrastructure,Mar 2018,8391,7518,873,10%,-23,460,172,219.0,37%,139,2.81,120.0,3962.0,2061.0,6265.0,12408.0,1158.0,23.0,619.0,10608.0,12408.0,586.0,-188.0,-453.0,-56.0,314.0,216.0,338.0,428.0,126.0,91.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Cyient,CYIENT,Information Technology,Mar 2018,3914,3394,520,13%,147,20,105,541.0,26%,403,36.0,56.0,2288.0,283.0,773.0,3400.0,798.0,52.0,143.0,2409.0,3400.0,296.0,-57.0,-136.0,103.0,149.0,64.0,156.0,453.0,-233.0,36.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Alembic Pharma,APLLTD,Pharmaceuticals,Mar 2018,3131,2488,643,21%,7,3,105,541.0,22%,413,21.89,38.0,2182.0,708.0,1013.0,3941.0,993.0,1010.0,42.0,1896.0,3941.0,312.0,-884.0,503.0,-69.0,-495.0,61.0,302.0,313.0,51.0,69.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Ajanta Pharma,AJANTPHARM,Pharmaceuticals,Mar 2018,2126,1467,658,31%,24,0,60,623.0,25%,469,35.5,18.0,2024.0,2.0,383.0,2426.0,1053.0,61.0,190.0,1122.0,2426.0,281.0,-256.0,0.0,25.0,19.0,79.0,315.0,224.0,170.0,103.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Sobha,SOBHA,Real Estate,Mar 2018,2783,2263,520,19%,50,198,54,317.0,32%,217,20.27,95.0,2675.0,2331.0,3924.0,9025.0,610.0,0.0,112.0,8302.0,9025.0,353.0,-129.0,-243.0,-18.0,294.0,43.0,5289.0,788.0,4544.0,261.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Wipro,WIPRO,Information Technology,Mar 2018,54487,44100,10387,19%,2550,583,2112,10242.0,22%,8003,6.63,905.0,47022.0,13901.0,13563.0,75391.0,18127.0,1378.0,25797.0,30090.0,75391.0,8423.0,3595.0,-12998.0,-979.0,6353.0,68.0,,,68.0,3.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Zydus Lifesciences,ZYDUSLIFE,Pharmaceuticals,Mar 2018,11905,9074,2831,24%,111,91,539,2312.0,24%,1810,17.35,102.0,8642.0,5407.0,3632.0,17783.0,6483.0,1527.0,746.0,9028.0,17783.0,919.0,-974.0,52.0,-3.0,-116.0,98.0,211.0,167.0,142.0,17.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Sharda Cropchem,SHARDACROP,Agriculture,Mar 2018,1707,1343,364,21%,9,15,70,287.0,34%,191,21.14,90.0,1045.0,170.0,914.0,2219.0,226.0,360.0,22.0,1611.0,2219.0,17.0,-160.0,132.0,-11.0,-185.0,191.0,169.0,202.0,158.0,94.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Natco Pharma,NATCOPHARM,Pharmaceuticals,Mar 2018,2185,1256,928,42%,40,15,66,887.0,22%,695,37.74,37.0,3035.0,173.0,470.0,3715.0,1019.0,480.0,76.0,2140.0,3715.0,464.0,-1116.0,651.0,-2.0,57.0,106.0,389.0,239.0,257.0,215.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Supreme Industries,SUPREMEIND,Consumer Durables,Mar 2018,4969,4182,787,16%,38,21,167,637.0,32%,432,33.99,25.0,1869.0,248.0,793.0,2936.0,1353.0,75.0,194.0,1314.0,2936.0,508.0,-267.0,-284.0,-43.0,226.0,28.0,80.0,56.0,52.0,23.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Vedanta,VEDL,Metals & Mining,Mar 2018,91866,66989,24877,27%,6087,5112,6283,19569.0,30%,13692,27.82,372.0,62940.0,58159.0,58896.0,180367.0,80279.0,32055.0,28700.0,39333.0,180367.0,17366.0,15480.0,-39255.0,-6409.0,10070.0,16.0,135.0,202.0,-51.0,-182.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Alkem Laboratories,ALKEM,Pharmaceuticals,Mar 2018,6401,5392,1009,16%,115,55,143,926.0,31%,638,52.77,24.0,4840.0,998.0,1803.0,7664.0,2284.0,381.0,444.0,4555.0,7664.0,266.0,-351.0,85.0,0.0,-411.0,62.0,221.0,147.0,135.0,40.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
eClerx Services,ECLERX,Information Technology,Mar 2018,1365,998,368,27%,61,1,48,380.0,24%,290,25.0,38.0,1167.0,6.0,208.0,1419.0,343.0,0.0,165.0,910.0,1419.0,305.0,26.0,-304.0,28.0,264.0,62.0,,,62.0,72.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
ONGC,ONGC,Oil & Gas,Mar 2018,322706,265817,56889,18%,10429,4999,23112,39208.0,34%,26068,17.23,6417.0,197602.0,106550.0,148664.0,459232.0,226058.0,61512.0,67335.0,104328.0,459232.0,56792.0,-66798.0,9909.0,-97.0,29061.0,16.0,56.0,48.0,24.0,-61.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Indian Oil,IOC,Oil & Gas,Mar 2018,421492,379834,41658,10%,4331,3875,7664,34450.0,34%,22626,15.23,9479.0,104395.0,65650.0,116336.0,295860.0,124053.0,19130.0,44806.0,107871.0,295860.0,29115.0,-17119.0,-12007.0,-11.0,11086.0,9.0,77.0,40.0,46.0,-37.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Graphite India,GRAPHITE,Metals & Mining,Mar 2018,3266,1821,1445,44%,88,8,52,1473.0,30%,1032,52.82,39.0,2693.0,272.0,727.0,3731.0,702.0,8.0,1208.0,1813.0,3731.0,760.0,-552.0,-179.0,29.0,702.0,92.0,372.0,195.0,269.0,88.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Dr. Reddy’s,DRREDDY,Pharmaceuticals,Mar 2018,14281,11930,2351,16%,155,79,1077,1350.0,32%,947,11.41,83.0,12489.0,5071.0,4706.0,22349.0,6968.0,3470.0,2298.0,9612.0,22349.0,1803.0,-1483.0,-444.0,-124.0,713.0,104.0,263.0,121.0,246.0,39.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Macrotech Developers,LODHA,Real Estate,Mar 2018,9677,7995,1682,17%,285,390,395,1182.0,33%,794,10.03,396.0,4756.0,22616.0,12483.0,40251.0,2197.0,6.0,1384.0,36664.0,40251.0,696.0,-651.0,24.0,69.0,654.0,29.0,,,29.0,-262.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Astec LifeSciences,ASTEC,Agriculture,Mar 2018,368,299,69,19%,12,11,15,56.0,37%,35,15.65,20.0,150.0,125.0,119.0,413.0,115.0,42.0,0.0,256.0,413.0,65.0,-49.0,-18.0,-3.0,15.0,122.0,122.0,155.0,89.0,-8.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Sunteck Realty,SUNTECK,Real Estate,Mar 2018,888,522,367,41%,9,42,2,332.0,32%,224,14.64,14.0,2616.0,568.0,457.0,3656.0,70.0,0.0,220.0,3365.0,3656.0,-169.0,18.0,140.0,-10.0,-169.0,119.0,,,119.0,959.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Tech Mahindra,TECHM,Information Technology,Mar 2018,30773,26063,4710,15%,1417,162,1085,4879.0,22%,3786,38.78,442.0,18401.0,2397.0,9192.0,30431.0,7622.0,240.0,4841.0,17728.0,30431.0,3554.0,-3319.0,-269.0,-35.0,2763.0,77.0,,,77.0,42.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
TCS,TCS,Information Technology,Mar 2018,123104,90588,32516,26%,3642,52,2014,34092.0,24%,25880,67.46,191.0,84937.0,247.0,19751.0,105126.0,11973.0,1278.0,36008.0,55867.0,105126.0,25067.0,3104.0,-26885.0,1286.0,23263.0,74.0,,,74.0,61.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Glenmark Pharma,GLENMARK,Pharmaceuticals,Mar 2018,9074,7457,1617,18%,89,286,302,1119.0,28%,804,28.49,28.0,5135.0,4639.0,2793.0,12595.0,3030.0,1122.0,15.0,8429.0,12595.0,1648.0,-1003.0,-468.0,177.0,625.0,94.0,244.0,225.0,113.0,99.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
JB Chemicals,JBCHEPHARM,Pharmaceuticals,Mar 2018,1408,1191,218,15%,37,3,57,194.0,28%,139,8.27,17.0,1425.0,29.0,294.0,1765.0,640.0,17.0,434.0,674.0,1765.0,123.0,-21.0,-60.0,43.0,94.0,78.0,145.0,75.0,148.0,93.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Jindal Stainless,JSL,Metals & Mining,Mar 2018,11638,10294,1343,12%,62,566,320,520.0,34%,346,7.16,96.0,2369.0,5015.0,3354.0,10834.0,6342.0,144.0,439.0,3909.0,10834.0,1452.0,-194.0,-1257.0,1.0,1258.0,28.0,116.0,104.0,41.0,-20.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Coforge,COFORGE,Information Technology,Mar 2018,2991,2489,502,17%,38,9,127,404.0,24%,309,9.12,62.0,1712.0,22.0,828.0,2624.0,879.0,1.0,365.0,1379.0,2624.0,382.0,-248.0,-74.0,60.0,294.0,71.0,,,71.0,30.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Mahindra Lifespace,MAHLIFE,Real Estate,Mar 2018,566,509,57,10%,123,41,4,135.0,23%,103,4.77,51.0,2008.0,459.0,481.0,2998.0,95.0,9.0,926.0,1967.0,2998.0,194.0,-180.0,-40.0,-25.0,193.0,94.0,,,94.0,630.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
HG Infra Engineering,HGINFRA,Ports & Infrastructure,Mar 2018,1393,1185,208,15%,5,40,54,119.0,29%,84,12.93,65.0,476.0,408.0,535.0,1484.0,412.0,9.0,0.0,1064.0,1484.0,-8.0,-446.0,443.0,-11.0,-260.0,113.0,71.0,187.0,-3.0,5.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Mrs. Bectors Food,BECTORFOOD,FMCG,Mar 2018,691,604,86,12%,2,7,28,53.0,32%,36,1.25,57.0,209.0,139.0,105.0,511.0,261.0,92.0,4.0,154.0,511.0,,,,,,37.0,34.0,37.0,33.0,4.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
HEG,HEG,Metals & Mining,Mar 2018,2748,1027,1721,63%,12,56,73,1605.0,33%,1099,55.02,40.0,1868.0,297.0,534.0,2739.0,833.0,2.0,248.0,1656.0,2739.0,594.0,-9.0,-588.0,-3.0,580.0,129.0,391.0,188.0,332.0,120.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Insecticides (India),INSECTICID,Agriculture,Mar 2018,1073,925,148,14%,3,16,17,118.0,29%,84,27.19,21.0,527.0,114.0,338.0,1000.0,232.0,17.0,17.0,735.0,1000.0,182.0,-26.0,-143.0,13.0,154.0,80.0,214.0,128.0,166.0,93.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
DCM Shriram,DCMSHRIRAM,Agriculture,Mar 2018,6900,5866,1035,15%,56,83,141,867.0,23%,669,41.22,33.0,3007.0,756.0,1857.0,5652.0,2211.0,117.0,30.0,3294.0,5652.0,827.0,-321.0,-571.0,-65.0,440.0,48.0,163.0,110.0,100.0,57.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Sun Pharma,SUNPHARMA,Pharmaceuticals,Mar 2018,26489,20858,5631,21%,-135,518,1500,3479.0,26%,2542,8.73,240.0,38074.0,10385.0,15598.0,64297.0,18853.0,2465.0,7143.0,35837.0,64297.0,3907.0,-3104.0,-1539.0,-736.0,2013.0,108.0,338.0,234.0,212.0,-31.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
HCLTech,HCLTECH,Information Technology,Mar 2018,50569,39323,11246,22%,1230,69,1383,11024.0,21%,8722,31.32,278.0,36108.0,557.0,11046.0,47989.0,18753.0,320.0,2660.0,26256.0,47989.0,8328.0,-2236.0,-5714.0,378.0,3007.0,70.0,,,70.0,58.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Deepak Fertilisers & Petrochemicals Corporation,DEEPAKFERT,Agriculture,Mar 2018,5995,5451,544,9%,23,173,163,230.0,29%,164,16.04,88.0,1958.0,3532.0,1413.0,6991.0,2189.0,654.0,388.0,3761.0,6991.0,-132.0,-1139.0,1269.0,-1.0,-1073.0,120.0,62.0,73.0,108.0,-72.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Jyothy Labs,JYOTHYLAB,FMCG,Mar 2018,1672,1415,257,15%,62,48,31,241.0,26%,179,5.12,18.0,1126.0,544.0,291.0,1979.0,1091.0,15.0,113.0,760.0,1979.0,242.0,-74.0,-145.0,23.0,247.0,35.0,79.0,63.0,51.0,-87.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
NMDC,NMDC,Metals & Mining,Mar 2018,11615,5812,5803,50%,667,37,257,6176.0,38%,3808,4.01,316.0,24101.0,500.0,3774.0,28691.0,3457.0,12545.0,673.0,12016.0,28691.0,3376.0,-1865.0,-1557.0,-46.0,1318.0,46.0,,,46.0,-4.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
National Fertilizers,NFL,Agriculture,Mar 2018,8943,8404,539,6%,62,192,73,335.0,36%,213,4.34,491.0,1495.0,3061.0,4582.0,9628.0,4080.0,64.0,217.0,5268.0,9628.0,1661.0,-346.0,-1314.0,1.0,1364.0,160.0,45.0,42.0,163.0,29.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Finolex Cables,FINCABLES,Consumer Durables,Mar 2018,2815,2374,441,16%,153,1,44,549.0,40%,330,21.58,31.0,2398.0,1.0,354.0,2784.0,409.0,5.0,1523.0,847.0,2784.0,236.0,-134.0,-57.0,44.0,199.0,23.0,90.0,32.0,80.0,60.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Biocon,BIOCON,Pharmaceuticals,Mar 2018,4123,3294,829,20%,228,62,385,610.0,26%,453,3.1,300.0,4881.0,2264.0,2545.0,9990.0,3700.0,1303.0,675.0,4312.0,9990.0,662.0,-684.0,-240.0,-261.0,-251.0,94.0,161.0,224.0,31.0,6.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Rashtriya Chemicals & Fertilizers (RCF),RCF,Agriculture,Mar 2018,7255,6986,268,4%,61,64,137,128.0,39%,79,1.43,552.0,2378.0,1331.0,2087.0,6348.0,1910.0,152.0,62.0,4223.0,6348.0,1078.0,-496.0,-588.0,-5.0,584.0,144.0,90.0,82.0,151.0,79.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Torrent Pharma,TORNTPHARM,Pharmaceuticals,Mar 2018,5950,4601,1349,23%,299,308,409,931.0,27%,678,20.04,85.0,4538.0,6462.0,3159.0,14243.0,7855.0,647.0,492.0,5249.0,14243.0,894.0,-4677.0,3417.0,-366.0,105.0,77.0,429.0,447.0,59.0,-80.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Welspun Corp,WELCORP,Metals & Mining,Mar 2018,6347,5874,473,7%,128,170,258,173.0,12%,153,5.97,133.0,2721.0,1386.0,3452.0,7693.0,3046.0,17.0,488.0,4143.0,7693.0,981.0,184.0,-761.0,405.0,933.0,76.0,125.0,177.0,24.0,22.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Symphony,SYMPHONY,Consumer Durables,Mar 2018,798,579,220,28%,54,2,7,265.0,27%,193,27.52,14.0,598.0,26.0,119.0,757.0,82.0,0.0,422.0,252.0,757.0,107.0,-102.0,-29.0,-25.0,108.0,28.0,75.0,55.0,48.0,41.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Brigade Enterprises,BRIGADE,Real Estate,Mar 2018,1897,1341,557,29%,36,259,138,196.0,32%,133,5.12,136.0,2151.0,3390.0,2133.0,7810.0,1805.0,2129.0,236.0,3640.0,7810.0,49.0,-1084.0,1032.0,-4.0,-865.0,34.0,3898.0,942.0,2991.0,59.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Godrej Properties,GODREJPROP,Real Estate,Mar 2018,1604,1819,-216,-13%,499,150,16,117.0,26%,87,4.01,108.0,1102.0,3703.0,3358.0,8271.0,113.0,71.0,1454.0,6633.0,8271.0,1155.0,-973.0,-493.0,-311.0,1005.0,36.0,5457.0,457.0,5035.0,-251.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
