Date,exchange_rate
2011-01-01,45.29685737973168
2011-02-01,45.35160045623779
2011-03-01,44.892695717189625
2011-04-01,44.29389972686768
2011-05-01,44.806727322665125
2011-06-01,44.78390832380815
2011-07-01,44.36190450759161
2011-08-01,45.23839104693869
2011-09-01,47.42472752657804
2011-10-01,49.19814318702335
2011-11-01,50.55290933088823
2011-12-01,52.334999951449305
2012-01-01,51.517363634976476
2012-02-01,49.17566662742978
2012-03-01,50.253409125588156
2012-04-01,51.604380834670295
2012-05-01,54.23752146181853
2012-06-01,56.00071425664993
2012-07-01,55.378909544511274
2012-08-01,55.51908692069676
2012-09-01,54.615750312805176
2012-10-01,53.01560858021612
2012-11-01,54.792909448797054
2012-12-01,54.633666628883
2013-01-01,54.319173895794414
2013-02-01,53.77849998474121
2013-03-01,54.41233298892067
2013-04-01,54.36309068853205
2013-05-01,54.89839139192001
2013-06-01,58.09675064086914
2013-07-01,59.729869344960086
2013-08-01,62.75240915471857
2013-09-01,64.0193332490467
2013-10-01,61.57000021501021
2013-11-01,62.66647611345564
2013-12-01,61.821681629527696
2014-01-01,61.99865241672682
2014-02-01,62.140200233459474
2014-03-01,60.99652390252976
2014-04-01,60.31522698835893
2014-05-01,59.26422743363814
2014-06-01,59.65919022333054
2014-07-01,60.01500021893045
2014-08-01,60.81557155790783
2014-09-01,60.806136738170274
2014-10-01,61.3033913322117
2014-11-01,61.63299961090088
2014-12-01,62.73634786191194
2015-01-01,62.203272732821375
2015-02-01,62.033850479125974
2015-03-01,62.459909439086914
2015-04-01,62.60036347129128
2015-05-01,63.71614256359282
2015-06-01,63.7934547771107
2015-07-01,63.621913080630094
2015-08-01,65.01014273507255
2015-09-01,66.2481821233576
2015-10-01,65.05031828446822
2015-11-01,66.07347724551246
2015-12-01,66.51682646378227
2016-01-01,67.25199890136719
2016-02-01,68.22361937023345
2016-03-01,67.00821685791016
2016-04-01,66.44942946661087
2016-05-01,66.91559150002219
2016-06-01,67.22354507446289
2016-07-01,67.18742915562221
2016-08-01,66.90825221849525
2016-09-01,66.69792764837092
2016-10-01,66.71483394077846
2016-11-01,67.60415371981534
2016-12-01,67.83011384443803
2017-01-01,68.07183629816228
2017-02-01,67.00256042480468
2017-03-01,65.89516084090523
2017-04-01,64.5478946685791
2017-05-01,64.3975130164105
2017-06-01,64.4509232260964
2017-07-01,64.45347366333007
2017-08-01,63.98929164720618
2017-09-01,64.39517102922711
2017-10-01,65.06690840287642
2017-11-01,64.81807091122582
2017-12-01,64.2504997253418
2018-01-01,63.659213024636976
2018-02-01,64.36792469024658
2018-03-01,65.02543154629794
2018-04-01,65.62718672979446
2018-05-01,67.61740444017494
2018-06-01,67.83127121698288
2018-07-01,68.7418722672896
2018-08-01,69.58693462869395
2018-09-01,72.26407012939453
2018-10-01,73.70506916875425
2018-11-01,72.00166806307706
2018-12-01,70.88785734630767
2019-01-01,70.71612217115319
2019-02-01,71.28241424560547
2019-03-01,69.71483357747395
