Date,exchange_rate
2019-04-01,69.48311406915838
2019-05-01,69.90358248623934
2019-06-01,69.60334510803223
2019-07-01,68.87401680324389
2019-08-01,71.22969193892045
2019-09-01,71.56304713657924
2019-10-01,71.11663951044497
2019-11-01,71.48800041562035
2019-12-01,71.22342751242898
2020-01-01,71.25003582498302
2020-02-01,71.54847526550293
2020-03-01,74.67810023914684
2020-04-01,76.50145894830877
2020-05-01,75.84895688011532
2020-06-01,75.83099573308772
2020-07-01,75.04592099397078
2020-08-01,74.74706704275948
2020-09-01,73.59392686323686
2020-10-01,73.59052380648527
2020-11-01,74.27882385253906
2020-12-01,73.73644754161005
2021-01-01,73.15517134893508
2021-02-01,72.76644515991211
2021-03-01,72.81514739990234
2021-04-01,74.4693270596591
2021-05-01,73.26855214436848
2021-06-01,73.53241348266602
2021-07-01,74.52937733043323
2021-08-01,74.1854133605957
2021-09-01,73.57104561545633
2021-10-01,74.9277100335984
2021-11-01,74.4731726212935
2021-12-01,75.39349995488706
2022-01-01,74.445313226609
2022-02-01,74.91742553710938
2022-03-01,76.17483056109884
2022-04-01,76.16621798560733
2022-05-01,77.25382267345081
2022-06-01,78.02294020219283
2022-07-01,79.55732908703033
2022-08-01,79.5099566915761
2022-09-01,80.16898623379794
2022-10-01,82.26640937441871
2022-11-01,81.67268128828569
2022-12-01,82.41765941273083
2023-01-01,81.8011360168457
2023-02-01,82.55955429077149
2023-03-01,82.28949107294497
2023-04-01,81.98350067138672
2023-05-01,82.27345209536345
2023-06-01,82.19811734286222
2023-07-01,82.1668959118071
2023-08-01,82.81583868938944
2023-09-01,83.0339613414946
2023-10-01,83.22280432961203
2023-11-01,83.36060402610086
2023-12-01,83.21109008789062
2024-01-01,83.12909565801206
2024-02-01,82.97882806687127
2024-03-01,83.02266584123883
2024-04-01,83.40929967706853
2024-05-01,83.37233933158542
2024-06-01,83.48320045471192
2024-07-01,83.58260080088739
2024-08-01,83.8881905295632
2024-09-01,83.80943371000744
2024-10-01,84.02382626740828
2024-11-01,84.34821392240978
2024-12-01,84.98197728937322
2025-01-01,86.26195526123047
2025-02-01,86.96414527893066
2025-03-01,86.64112817673455
2025-04-01,85.64615478515626
2025-05-01,85.20378667658025
2025-06-01,85.92810530889602
2025-07-01,86.09568222709323
2025-08-01,87.49646650041852
2025-09-01,88.25879981301047
2025-10-01,88.38044771940812
2025-11-01,88.81083450317382
2025-12-01,90.00801814686169
2026-01-01,90.74835786365327
2026-02-01,90.72659416198731
2026-03-01,92.80219546231356
2026-04-01,93.49466358531605
2026-05-01,95.53827630905877
2026-06-01,95.06007211858577
2026-07-01,95.87848043441772
