Date,oil_price
2011-01-01,96.78631591796875
2011-02-01,103.94210494192023
2011-03-01,114.64954514936967
2011-04-01,123.05052586605674
2011-05-01,114.51428622291202
2011-06-01,113.90181801535867
2011-07-01,117.11823541977826
2011-08-01,109.91476149786087
2011-09-01,110.19449996948242
2011-10-01,109.0895004272461
2011-11-01,110.82263103284333
2011-12-01,107.72285643078033
2012-01-01,111.46499977111816
2012-02-01,119.01050071716308
2012-03-01,124.544545953924
2012-04-01,120.48650016784669
2012-05-01,110.43318245627664
2012-06-01,95.92714327857608
2012-07-01,102.86428615025112
2012-08-01,112.67826113493547
2012-09-01,112.61470525404987
2012-10-01,111.62105279219777
2012-11-01,109.46200065612793
2012-12-01,109.30277803209093
2013-01-01,112.26809583391461
2013-02-01,116.08263156288548
2013-03-01,109.52052588211863
2013-04-01,103.56681893088601
2013-05-01,103.21545514193448
2013-06-01,103.1426319323088
2013-07-01,107.49190484909784
2013-08-01,110.51190512520927
2013-09-01,111.32000054253473
2013-10-01,109.50227321277966
2013-11-01,107.72105327405427
2013-12-01,110.85400009155273
2014-01-01,107.19949951171876
2014-02-01,108.70611148410373
2014-03-01,107.85761878603981
2014-04-01,108.05190531412761
2014-05-01,109.21952420189267
2014-06-01,111.98047601609002
2014-07-01,107.98590885509144
2014-08-01,103.32047562372117
2014-09-01,98.2538088843936
2014-10-01,87.97913062054178
2014-11-01,79.91210455643504
2014-12-01,63.20363651622426
2015-01-01,49.679999923706056
2015-02-01,58.440526259572884
2015-03-01,56.93499981273305
2015-04-01,60.96523775373186
2015-05-01,65.60099925994874
2015-06-01,63.70409029180353
2015-07-01,56.62181802229448
2015-08-01,48.21952383858817
2015-09-01,48.43333344232468
2015-10-01,49.21409121426669
2015-11-01,45.90700016021729
2015-12-01,38.90954520485618
2016-01-01,32.212105098523594
2016-02-01,33.55649995803833
2016-03-01,39.75136375427246
2016-04-01,43.386666434151785
2016-05-01,47.73904764084589
2016-06-01,49.92681815407493
2016-07-01,46.330999755859374
2016-08-01,47.172608251157016
2016-09-01,47.2980953398205
2016-10-01,51.21049976348877
2016-11-01,47.10850086212158
2016-12-01,54.717618851434615
2017-01-01,55.4269998550415
2017-02-01,55.926842739707546
2017-03-01,52.50565188864003
2017-04-01,53.81894703915245
2017-05-01,51.34954556551847
2017-06-01,47.54000039534135
2017-07-01,49.12550029754639
2017-08-01,51.90695638241975
2017-09-01,55.65200023651123
2017-10-01,57.64909068020907
2017-11-01,62.87142853509812
2017-12-01,64.06650028228759
2018-01-01,69.02238028390067
2018-02-01,65.70368415430973
2018-03-01,66.80904751732236
2018-04-01,71.7623806908017
2018-05-01,77.17681884765625
2018-06-01,75.97952379499164
2018-07-01,74.7952386765253
2018-08-01,73.92260808530061
2018-09-01,79.15999964663857
2018-10-01,80.62956635848336
2018-11-01,66.23285729544503
2018-12-01,57.47000021683542
2019-01-01,60.12190500895182
2019-02-01,64.2763153879266
2019-03-01,67.02761949811664
2019-04-01,71.62857237316314
2019-05-01,70.31181820956144
2019-06-01,63.03800010681152
2019-07-01,64.25636395541105
2019-08-01,59.501818050037734
2019-09-01,62.468499946594235
2019-10-01,59.632173289423406
2019-11-01,62.65149974822998
2019-12-01,65.17380886986142
2020-01-01,63.5999999273391
2020-02-01,55.362105319374486
2020-03-01,33.72909112410112
2020-04-01,26.63142867315383
2020-05-01,32.256000232696536
2020-06-01,40.77272727272727
2020-07-01,43.24136369878595
2020-08-01,45.01999991280692
2020-09-01,41.86714299519857
2020-10-01,41.524091026999734
2020-11-01,43.78900012969971
2020-12-01,50.218181956898086
2021-01-01,55.35157916420385
2021-02-01,62.22789423089279
2021-03-01,65.70217381352964
2021-04-01,65.32857150123233
2021-05-01,68.25849990844726
2021-06-01,73.40818162397905
2021-07-01,74.15714336576916
2021-08-01,70.51363615556197
2021-09-01,75.0028559366862
2021-10-01,83.74619038899739
2021-11-01,80.78428540910993
2021-12-01,74.74318140203303
2022-01-01,85.52699966430664
2022-02-01,94.03368457994964
2022-03-01,112.46304420802905
2022-04-01,105.91699981689453
2022-05-01,111.4971429734003
2022-06-01,117.66381000337147
2022-07-01,104.70499954223632
2022-08-01,97.74086894159731
2022-09-01,90.32476116362072
2022-10-01,93.59380958193825
2022-11-01,91.11428578694661
2022-12-01,81.3414284842355
2023-01-01,83.87900009155274
2023-02-01,83.50947329872533
2023-03-01,79.2069562829059
2023-04-01,83.36894788240132
2023-05-01,75.63227358731356
2023-06-01,74.92571367536273
2023-07-01,80.35549964904786
2023-08-01,85.10434756071672
2023-09-01,92.76649932861328
2023-10-01,88.70409115878019
