,,,,,,,,,,,,
,Macro-economic Indicators - Fortnightly,,,,,,,,,,,
,,,,,,,,,,,,
,Period,"Non Food Credit
 (₹  Crore)","Investment In India
 (₹ Crore)","Aggregate Desposits 
(₹ Crore)","Bank Credit 
(₹ Crore)","Food Credit 
(₹ Crore)",Cash-Deposit Ratio(Including merger) (%),Cash Deposit Ratio (%),Credit-Deposit Ratio(Including merger) (%),Credit Deposit Ratio (%),"M3 
(₹ Crore)","Certificates of Deposit (Amount Outstanding) 
(₹ Crore)"
,22-Jun-2018,"8,551,880.35","3,396,564.36","11,352,982.52","8,614,418.54","62,538.19",4.90,4.90,75.88,75.88,"14,003,226.66","174,499.10"
,08-Jun-2018,"8,528,171.70","3,445,736.27","11,408,348.88","8,593,845.47","65,673.77",4.55,4.55,75.33,75.33,"14,056,195.37","186,152.61"
,25-May-2018,"8,484,744.87","3,373,884.09","11,352,822.42","8,537,655.39","52,910.52",4.74,4.74,75.36,75.36,"13,984,477.99","205,222.36"
,11-May-2018,"8,462,619.82","3,390,162.99","11,342,752.15","8,520,644.62","58,024.80",4.58,4.58,75.03,75.03,"13,974,411.29","204,056.54"
,27-Apr-2018,"8,465,589.58","3,360,808.13","11,381,421.70","8,517,625.05","52,035.47",4.89,4.89,74.66,74.66,"13,981,646.82","206,807.00"
,13-Apr-2018,"8,414,049.19","3,382,307.14","11,329,115.47","8,446,023.21","31,974.02",4.47,4.47,74.49,74.49,"13,914,187.25","203,557.47"
,30-Mar-2018,"8,583,435.54","3,318,453.76","11,426,049.41","8,625,424.85","41,989.31",5.11,5.11,75.39,75.39,"13,966,007.50","185,732.44"
,16-Mar-2018,"8,304,580.53","3,334,888.89","11,111,627.57","8,346,747.29","42,166.76",4.63,4.63,75.02,75.02,"13,635,043.95","188,776.25"
,02-Mar-2018,"8,273,397.01","3,409,075.31","11,137,045.55","8,319,032.45","45,635.44",4.69,4.69,74.61,74.61,"13,627,756.58","194,581.03"
,16-Feb-2018,"8,175,655.67","3,402,805.44","11,002,274.34","8,223,208.03","47,552.36",4.63,4.63,74.65,74.65,"13,478,992.16","177,981.82"
,02-Feb-2018,"8,181,094.00","3,410,219.70","11,057,589.73","8,233,473.08","52,379.08",4.54,4.54,74.37,74.37,"13,496,388.70","171,178.44"
,19-Jan-2018,"8,083,399.81","3,363,585.77","10,927,442.21","8,142,006.20","58,606.39",4.70,4.70,74.42,74.42,"13,363,233.63","168,976.59"
,05-Jan-2018,"8,095,277.71","3,388,124.58","10,948,922.02","8,152,767.48","57,489.77",4.65,4.65,74.64,74.64,"13,354,527.19","152,553.00"
,22-Dec-2017,"8,001,821.04","3,333,513.21","10,820,874.39","8,068,266.95","66,445.91",4.77,4.77,74.38,74.38,"13,208,681.45","126,981.00"
,08-Dec-2017,"7,929,414.54","3,357,543.54","10,837,667.60","7,998,188.28","68,773.74",4.61,4.61,73.63,73.63,"13,214,984.47","119,659.30"
,24-Nov-2017,"7,860,339.22","3,348,844.29","10,794,825.65","7,934,714.61","74,375.39",4.66,4.66,73.41,73.41,"13,147,309.31","121,891.00"
,10-Nov-2017,"7,862,846.20","3,378,759.24","10,835,725.94","7,931,080.97","68,234.77",4.67,4.67,73.10,73.10,"13,183,233.73","121,648.94"
,27-Oct-2017,"7,822,419.86","3,330,252.17","10,797,552.23","7,884,644.91","62,225.05",4.75,4.75,72.92,72.92,"13,115,316.32","128,621.74"
,13-Oct-2017,"7,815,444.33","3,351,691.90","10,825,793.60","7,864,021.59","48,577.26",4.69,4.69,72.54,72.54,"13,127,718.20","116,803.23"
